Molecule ChEMBL ID,Smiles,Molecular Weight,#RO5 Violations,Standard Type,Standard Value,Standard Units,Bioactivity Class
CHEMBL71082,CC12CCC3C4CCCCC4=CC(=O)C3C1CCC2=O,272.39,0.0,IC50,28000.0,nM,Inactive
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,285.31,0.0,IC50,1.9,nM,Active
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,0.0,IC50,14000.0,nM,Inactive
CHEMBL224789,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnn2)cc1,285.31,0.0,IC50,8.0,nM,Active
CHEMBL1824742,CCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,327.39,0.0,IC50,4700.0,nM,Inactive
CHEMBL1824743,CCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,369.47,0.0,IC50,5070.0,nM,Inactive
CHEMBL14192,c1ccc(Cn2ccnc2)cc1,158.2,0.0,IC50,150.0,nM,Intermediate
CHEMBL1825025,CCCc1cn(Cc2ccc(C#N)cc2)nn1,226.28,0.0,IC50,4370.0,nM,Inactive
CHEMBL1825032,N#Cc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1,324.77,0.0,IC50,3910.0,nM,Inactive
CHEMBL1825044,Clc1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,299.76,0.0,IC50,5040.0,nM,Inactive
CHEMBL1825049,c1ccc(Cn2cc(COc3ccc(-c4ccccc4)cc3)nn2)cc1,341.41,0.0,IC50,10700.0,nM,Inactive
CHEMBL1389987,Cc1ccc(C(=O)NCCCn2ccnc2)cn1,244.3,0.0,IC50,10600.0,nM,Inactive
CHEMBL283782,COc1cccc2c1CC(Cc1ccncc1)C2=O,253.3,0.0,IC50,14000.0,nM,Inactive
CHEMBL26065,O=C1/C(=C/c2ccncc2)Cc2cc(O)ccc21,237.26,0.0,IC50,19000.0,nM,Inactive
CHEMBL195354,COc1ccc2c(c1)CC/C2=C/c1cncs1,243.33,0.0,IC50,4830.0,nM,Inactive
CHEMBL363849,Fc1ccc2c(c1)CC/C2=C/c1cccc2cnccc12,275.33,0.0,IC50,1940.0,nM,Inactive
CHEMBL194928,C(=C1c2ccccc2-c2ccccc21)c1cccnc1,255.32,0.0,IC50,4810.0,nM,Inactive
CHEMBL2336849,COc1ccc2cc(Cn3ccnc3)n(-c3ccc(C(F)(F)F)cc3)c2c1,371.36,0.0,IC50,25.56,nM,Active
CHEMBL2336859,FC(F)(F)c1ccc(-n2c(Cn3ccnc3)cc3ccccc32)cc1,341.34,0.0,IC50,4.93,nM,Active
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,285.31,0.0,IC50,36.0,nM,Active
CHEMBL2163639,O=C1CCc2cc(C(C3CC3)n3ccnc3)cc3c2N1CC3,293.37,0.0,IC50,228.0,nM,Intermediate
CHEMBL2312972,O=C1CCc2cc(C(c3ccc(F)cc3)c3cccnc3)cc3c2N1CC3,358.42,0.0,IC50,140.0,nM,Intermediate
CHEMBL2312960,O=C1CCc2cc(C(c3ccncc3)c3cccc(Cl)c3)cc3c2N1CC3,374.87,0.0,IC50,19.0,nM,Active
CHEMBL2312952,O=C1CCc2cc(C(c3ccncc3)C3CCCCC3)cc3c2N1CC3,346.47,0.0,IC50,74.0,nM,Active
CHEMBL2312949,C=C(c1ccncc1)c1cc2c3c(c1)CCN3C(=O)CC2,276.34,0.0,IC50,565.0,nM,Intermediate
CHEMBL70959,C[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,288.48,0.0,IC50,3.7,nM,Active
CHEMBL365120,C(=C1/CCCc2ccccc21)\c1cccnc1,221.3,0.0,IC50,3790.0,nM,Inactive
CHEMBL193997,Fc1ccc2c(c1)CC/C2=C\c1cccnc1,225.27,0.0,IC50,2540.0,nM,Inactive
CHEMBL1171818,COc1cc(CCc2ccc(N)cc2)cc(OC)c1,257.33,0.0,IC50,2760.0,nM,Inactive
CHEMBL254328,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,349.52,1.0,IC50,50000.0,nM,Inactive
CHEMBL2112299,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccncc3)=CC[C@@H]12,349.52,1.0,IC50,20000.0,nM,Inactive
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,254.24,0.0,IC50,1500.0,nM,Inactive
CHEMBL2011171,O=C1c2ccccc2OCC1c1ccccc1,224.26,0.0,IC50,29000.0,nM,Inactive
CHEMBL1630268,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@]43C)[C@@H]1CCC2=O,288.43,0.0,IC50,280.0,nM,Intermediate
CHEMBL1630280,C[C@]12CC[C@@H](O)C(=O)[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,304.43,0.0,IC50,670.0,nM,Intermediate
CHEMBL1630909,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,318.41,0.0,IC50,1850.0,nM,Inactive
CHEMBL390078,N#Cc1ccc(N(Cc2cccc(O)c2)n2cnnc2)cc1,291.31,0.0,IC50,2.8,nM,Active
CHEMBL226736,COc1cc(CN(c2ccc(C#N)cc2)n2cnnc2)ccc1OS(N)(=O)=O,400.42,0.0,IC50,42.0,nM,Active
CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1,202.21,0.0,IC50,1800.0,nM,Inactive
CHEMBL1824748,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cc(COc3ccccc3)nn2)cc1,391.43,0.0,IC50,10970.0,nM,Inactive
CHEMBL1824761,c1ccc(-c2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,311.39,0.0,IC50,12940.0,nM,Inactive
